,tweet_id,text,link,created_at,timestamp_ms,user_id,user_name,user_screen_name,user_location,geo,coordinates,place_full_name,place_country,retweeted_status_id,in_reply_to_status_id,sarcasm_value,processed_tweets,polarity_scores,compounded,neutral,positive,negative,candidate
46,1.31708e+18,RT @ACTBrigitte: RT if you joined Twitter BECAUSE of President Donald Trump.,https://twitter.com/SaveThePlanet04/status/1317079911870455809,16/10/2020 12:28,1602850000000.0,4454973808.0,CWP,SaveThePlanet04,,,,,,1.31671e+18,,-28,RT RT joined Twitter BECAUSE President Donald Trump,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0,Trump
50,1.31708e+18,"RT @tomorrawdotcom: Trump slams Facebook, Twitter for taking down Biden story in NY Post",https://twitter.com/cat25RIII2/status/1317079912398917632,16/10/2020 12:28,1602850000000.0,7.67375e+17,@cat25RIII,cat25RIII2,"Texas, USA",,,,,1.31668e+18,,-41,RT Trump slams Facebook Twitter taking Biden story NY Post,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0,Trump
51,1.31708e+18,RT @UrbanAchievr: Crazy Uncle Trump thinks the Babylon Bee is real https://t.co/YBwLQDz18k,https://twitter.com/MazzolaFrank/status/1317079912566673408,16/10/2020 12:28,1602850000000.0,519788153.0,864511320,MazzolaFrank,,,,,,1.31705e+18,,-15,RT Crazy Uncle Trump thinks Babylon Bee real httpstcoY BwLQ Dz18k,"{'neg': 0.194, 'neu': 0.806, 'pos': 0.0, 'compound': -0.34}",-0.34,0.806,0.0,0.194,Trump
55,1.31708e+18,RT @JJohnsonLaw: So Trump could only do one hour and Joe is doing 90 minutes?,https://twitter.com/deepen915/status/1317079915452313602,16/10/2020 12:28,1602850000000.0,16207883.0,Deepen Gandhi 🇺🇸 🌊 🖤 ✊🏾,deepen915,NJ,,,,,1.31691e+18,,-48,RT So Trump could one hour Joe 90 minutes,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0,Trump
56,1.31708e+18,RT @hodgetwins: This tweet goes out to the woman nodding for Trump. Retweet this so she sees it. She deserves a medal.,https://twitter.com/Lindampi619/status/1317079915456569346,16/10/2020 12:28,1602850000000.0,3440435112.0,Linda Ike,Lindampi619,,,,,,1.3169e+18,,-34,RT This tweet goes woman nodding Trump Retweet sees She deserves medal,"{'neg': 0.0, 'neu': 0.78, 'pos': 0.22, 'compound': 0.4767}",0.4767,0.78,0.22,0.0,Trump
57,1.31708e+18,vote for PRESIDENT TRUMP if you love AMERICA.,https://twitter.com/tonabonneville/status/1317079915456581633,16/10/2020 12:28,1602850000000.0,1423493726.0,tona rigsby,tonabonneville,shawneetown il,,,,,,,-45,vote PRESIDENT TRUMP love AMERICA,"{'neg': 0.0, 'neu': 0.488, 'pos': 0.512, 'compound': 0.6369}",0.6369,0.488,0.512,0.0,Trump
60,1.31708e+18,"@realDonaldTrump Its all fake, the are fske news generator.
see all these people 
https://t.co/b8g9uKNfMI",https://twitter.com/LavieGuied/status/1317079915510988801,16/10/2020 12:28,1602850000000.0,1.01623e+18,lavieguide,LavieGuied,,,,,,,1.31708e+18,36,Its fake fske news generatorsee people httpstcob8g9uK NfMI,"{'neg': 0.307, 'neu': 0.693, 'pos': 0.0, 'compound': -0.4767}",-0.4767,0.693,0.0,0.307,Trump
64,1.31708e+18,RT @MaryLTrump: Actually . . .,https://twitter.com/UlinChris/status/1317079915792158720,16/10/2020 12:28,1602850000000.0,2572919094.0,Chris Ulin,UlinChris,TEXAS,,,,,1.3169e+18,,-54,RT Actually,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0,Trump
65,1.31708e+18,RT @anthonyvclark20: I wish we hated the system that led to Trump as much as we hate Trump......,https://twitter.com/mollz624/status/1317079915913711618,16/10/2020 12:28,1602850000000.0,544650785.0,Molly,mollz624,,,,,,1.31679e+18,,-69,RT I wish hated system led Trump much hate Trump,"{'neg': 0.476, 'neu': 0.361, 'pos': 0.163, 'compound': -0.7351}",-0.7351,0.361,0.163,0.476,Trump
67,1.31708e+18,RT @sarahcpr: Wow how much can I get paid to sit behind Trump and nod at everything he says,https://twitter.com/KarandeepDizzle/status/1317079915867430912,16/10/2020 12:28,1602850000000.0,140226450.0,Karan Sandhu,KarandeepDizzle,"Seattle, WA",,,,,1.3169e+18,,-29,RT Wow much I get paid sit behind Trump nod everything says,"{'neg': 0.0, 'neu': 0.725, 'pos': 0.275, 'compound': 0.5859}",0.5859,0.725,0.275,0.0,Trump
69,1.31708e+18,"RT @GOPChairwoman: Daily Wire: Savannah Guthrie Blasted For Hostile Behavior Toward Trump During Town Hall

https://t.co/KXS72cUkOi",https://twitter.com/X17group/status/1317079916010180615,16/10/2020 12:28,1602850000000.0,1.27598e+18,X17,X17group,,,,,,1.31692e+18,,-25,RT Daily Wire Savannah Guthrie Blasted For Hostile Behavior Toward Trump During Town HallhttpstcoKXS72c Uk Oi,"{'neg': 0.148, 'neu': 0.852, 'pos': 0.0, 'compound': -0.3818}",-0.3818,0.852,0.0,0.148,Trump
70,1.31708e+18,"RT @DavidJollyFL: Nothing Sasse said should turn the focus to Trump, it should turn the focus squarely on Sasse, for a long while.",https://twitter.com/KsKM3/status/1317079916169539586,16/10/2020 12:28,1602850000000.0,23110912.0,Remove Trump 202-224-3121☎️,KsKM3,Boston,,,,,1.31707e+18,,-79,RT Nothing Sasse said turn focus Trump turn focus squarely Sasse long,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0,Trump
71,1.31708e+18,@aginnt @JoeBiden @realDonaldTrump Because trump is a walking biohazard,https://twitter.com/thortallmon/status/1317079916182196230,16/10/2020 12:28,1602850000000.0,8.31885e+17,Շђ๏г Շคɭɭ๓๏ภ #icantbreathe #blm,thortallmon,"Overland Park, KS",,,,,,1.31695e+18,-39,Because trump walking biohazard,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0,Trump
72,1.31708e+18,RT @TheBabylonBee: President Trump Declares The Babylon Bee His Most-Trusted News Source https://t.co/oObdxaH3w6,https://twitter.com/GoetzEvenBetter/status/1317079916215717888,16/10/2020 12:28,1602850000000.0,331720602.0,Andrew Goetz,GoetzEvenBetter,,,,,,1.31707e+18,,-6,RT President Trump Declares The Babylon Bee His Most Trusted News Source httpstcoo ObdxaH3w6,"{'neg': 0.0, 'neu': 0.793, 'pos': 0.207, 'compound': 0.5256}",0.5256,0.793,0.207,0.0,Trump
75,1.31708e+18,RT @JFNYC1: Biden is trying to take the seat from Trump  https://t.co/SHtLdq2CL2,https://twitter.com/JoelGuidry3/status/1317079916224053248,16/10/2020 12:28,1602850000000.0,8.01424e+17,Cajun Dad,JoelGuidry3,"Louisiana, USA",,,,,1.31707e+18,,-39,RT Biden trying take seat Trump httpstcoS Ht Ldq2CL2,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0,Trump
76,1.31708e+18,RT @mccaffreyr3: This ad states the only argument needed to eject Trump from office. Vote for DECENCY.,https://twitter.com/KsnurseVictoria/status/1317079916517740544,16/10/2020 12:28,1602850000000.0,2750790104.0,Victoria,KsnurseVictoria,,,,,,1.31682e+18,,-29,RT This ad states argument needed eject Trump office Vote DECENCY,"{'neg': 0.2, 'neu': 0.8, 'pos': 0.0, 'compound': -0.3612}",-0.3612,0.8,0.0,0.2,Trump
77,1.31708e+18,RT @realDonaldTrump: Biden lied Pennsylvania!,https://twitter.com/NewHeavenZone21/status/1317079919671889923,16/10/2020 12:28,1602850000000.0,1.25365e+18,IPOB New Heaven Zone 2 Aba,NewHeavenZone21,,,,,,1.31706e+18,,-49,RT Biden lied Pennsylvania,"{'neg': 0.464, 'neu': 0.536, 'pos': 0.0, 'compound': -0.3818}",-0.3818,0.536,0.0,0.464,Trump
78,1.31708e+18,RT @UrbanAchievr: Crazy Uncle Trump thinks the Babylon Bee is real https://t.co/YBwLQDz18k,https://twitter.com/caresaboutxmas/status/1317079919852244992,16/10/2020 12:28,1602850000000.0,1.31166e+18,Gives a Fuck about Christmas,caresaboutxmas,,,,,,1.31705e+18,,-15,RT Crazy Uncle Trump thinks Babylon Bee real httpstcoY BwLQ Dz18k,"{'neg': 0.194, 'neu': 0.806, 'pos': 0.0, 'compound': -0.34}",-0.34,0.806,0.0,0.194,Trump
79,1.31708e+18,Savannah Gutherie showed America why they must vote TRUMP. SHE WAS CRAZY &amp; Manic,https://twitter.com/DeniseCiccotto/status/1317079920225509378,16/10/2020 12:28,1602850000000.0,387345205.0,Honey Dew,DeniseCiccotto,United States,,,"Viera West, FL",United States,,,-47,Savannah Gutherie showed America must vote TRUMP SHE WAS CRAZY amp Manic,"{'neg': 0.222, 'neu': 0.778, 'pos': 0.0, 'compound': -0.4824}",-0.4824,0.778,0.0,0.222,Trump
80,1.31708e+18,@realDonaldTrump @GStephanopoulos Traitor of USA is Trump,https://twitter.com/SandraC15345423/status/1317079920141545473,16/10/2020 12:28,1602850000000.0,1.16849e+18,Sandra Cornelius,SandraC15345423,,,,,,,1.31705e+18,-42,Traitor USA Trump,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0,Trump
84,1.31708e+18,"RT @LetItRain233: If qanon is against pedophiles, why did Savannah Guthrie want President Trump to denounce them? Is she for pedophiles?",https://twitter.com/144000bound/status/1317079920137351170,16/10/2020 12:28,1602850000000.0,248944940.0,Allen May ⭐️⭐️⭐️🇺🇸🇮🇱,144000bound,,,,,,1.31694e+18,,-37,RT If qanon pedophiles Savannah Guthrie want President Trump denounce Is pedophiles,"{'neg': 0.175, 'neu': 0.73, 'pos': 0.095, 'compound': -0.2732}",-0.2732,0.73,0.095,0.175,Trump
85,1.31708e+18,"RT @realDonaldTrump: Thank you LIBERTARIANS. We are getting it all done, and FAST! VOTE TRUMP!!! https://t.co/ai2vTb1V3G",https://twitter.com/GlenWildfang/status/1317079920082903043,16/10/2020 12:28,1602850000000.0,1.25727e+18,God IS who he says He IS,GlenWildfang,,,,,,1.31706e+18,,2,RT Thank LIBERTARIANS We getting done FAST VOTE TRUMP httpstcoai2v Tb1V3G,"{'neg': 0.0, 'neu': 0.675, 'pos': 0.325, 'compound': 0.516}",0.516,0.675,0.325,0.0,Trump
86,1.31708e+18,"RT @Dknight10k: Alright. Here we go. As promised, I will live tweet this Trump town hall, aka commit emotional suicide.

Thread.",https://twitter.com/homemaidmama11/status/1317079920129048582,16/10/2020 12:28,1602850000000.0,7.308e+17,🌞🌊RiseUpNow🌊🌞,homemaidmama11,Maine USA,,,,,1.31689e+18,,-79,RT Alright Here go As promised I live tweet Trump town hall aka commit emotional suicide Thread,"{'neg': 0.189, 'neu': 0.462, 'pos': 0.349, 'compound': 0.2023}",0.2023,0.462,0.349,0.189,Trump
87,1.31708e+18,"RT @CraigSh8: @realDonaldTrump VOTE SMART- VOTE TRUMP!!
#MAGA https://t.co/rRzajXZ8fu",https://twitter.com/Saieh001/status/1317079920435253250,16/10/2020 12:28,1602850000000.0,141041525.0,Luis  A Saieh,Saieh001,,,,,,1.31706e+18,,23,RT VOTE SMART VOTE TRUMPMAGA httpstcor RzajXZ8fu,"{'neg': 0.0, 'neu': 0.636, 'pos': 0.364, 'compound': 0.5319}",0.5319,0.636,0.364,0.0,Trump
89,1.31708e+18,RT @ReneeAlida: Waiting for Trump's re-tweet from the Onion.,https://twitter.com/hawkaye19/status/1317079920418357248,16/10/2020 12:28,1602850000000.0,314109491.0,Bruce T G Holt. 🇨🇦. ⚓ 🏴󠁧󠁢󠁷󠁬󠁳󠁿,hawkaye19,"Ottawa, Canada",,,,,1.31707e+18,,-22,RT Waiting Trumps retweet Onion,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0,Trump
92,1.31708e+18,RT @AKA_RealDirty: President Trump was on top of his game debating this insufferable Twatt @SavannahGuthrie. https://t.co/ll7nynBVjF,https://twitter.com/Tucker_1948/status/1317079920481169409,16/10/2020 12:28,1602850000000.0,345674758.0,Hiroshiニートお爺ちゃん🎸No Mask World,Tucker_1948,大阪市　🇯🇵,,,,,1.31708e+18,,-11,RT President Trump top game debating insufferable Twatt httpstcoll7nynB VjF,"{'neg': 0.0, 'neu': 0.833, 'pos': 0.167, 'compound': 0.2023}",0.2023,0.833,0.167,0.0,Trump
93,1.31708e+18,"RT @funder: Network YouTube views as of 9pm

Biden: 507,445 ABC
Trump: 153,660 NBC",https://twitter.com/egonz2112/status/1317079920720416773,16/10/2020 12:28,1602850000000.0,8.88204e+17,"Ed Gonzalez #BoycottNRA #Basta, #resist 🍸⚣🌈",egonz2112,NY,,,,,1.31708e+18,,-28,RT Network You Tube views 9pm Biden 507445 ABC Trump 153660 NBC,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0,Trump
94,1.31708e+18,RT @ACTBrigitte: Retweet if President Trump won that debate.,https://twitter.com/blueyerosa/status/1317079920892411905,16/10/2020 12:28,1602850000000.0,7.25138e+17,Rosa Sharon,blueyerosa,,,,,,1.31691e+18,,-15,RT Retweet President Trump debate,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0,Trump
95,1.31708e+18,"RT @tonyschwartz: Ben Sasse excoriates Trump in a private call, doesn't have the courage to do so publicly. Craven cowardice.",https://twitter.com/viejatwit/status/1317079920921743361,16/10/2020 12:28,1602850000000.0,32890891.0,viejatwit,viejatwit,,,,,,1.31688e+18,,-36,RT Ben Sasse excoriates Trump private call doesnt courage publicly Craven cowardice,"{'neg': 0.193, 'neu': 0.807, 'pos': 0.0, 'compound': -0.3875}",-0.3875,0.807,0.0,0.193,Trump
96,1.31708e+18,RT @KathyNiece: Trump is pitiful. #MorningJoe https://t.co/R25Ycb9fiX,https://twitter.com/carmenBwifemom/status/1317079920800137216,16/10/2020 12:28,1602850000000.0,7.63206e+17,Kamala The Last Airbender Harris,carmenBwifemom,,,,,,1.31634e+18,,26,RT Trump pitiful Morning Joe httpstcoR25 Ycb9fiX,"{'neg': 0.348, 'neu': 0.652, 'pos': 0.0, 'compound': -0.4939}",-0.4939,0.652,0.0,0.348,Trump
101,1.31708e+18,RT @joncoopertweets: Moderator Savannah Guthrie hailed for keeping Trump in check at NBC town hall  https://t.co/P7jwP9mOyc,https://twitter.com/lbnect66odat/status/1317079924264607744,16/10/2020 12:28,1602850000000.0,1.21209e+18,LBNECT66odat,lbnect66odat,,,,,,1.31707e+18,,-14,RT Moderator Savannah Guthrie hailed keeping Trump check NBC town hall httpstcoP7jwP9m Oyc,"{'neg': 0.0, 'neu': 0.863, 'pos': 0.137, 'compound': 0.2263}",0.2263,0.863,0.137,0.0,Trump
102,1.31708e+18,"@Chef_Plus_More Yet Trump can post whatever he wants, including baselessly accusing previous presidents of murder.",https://twitter.com/johnnyapples906/status/1317079924436471808,16/10/2020 12:28,1602850000000.0,1.04115e+18,Bryan Koppana,johnnyapples906,"Michigan, USA",,,,,,1.31705e+18,2,Yet Trump post whatever wants including baselessly accusing previous presidents murder,"{'neg': 0.416, 'neu': 0.584, 'pos': 0.0, 'compound': -0.7506}",-0.7506,0.584,0.0,0.416,Trump
105,1.31708e+18,"RT @mhmck: What Trump has never said to Putin and never will:

""Get out of Ukraine.""

""Stop interfering in U.S. elections""",https://twitter.com/SolidarityRnwd/status/1317079924721831945,16/10/2020 12:28,1602850000000.0,2539747665.0,Solidarity Renewed ❤️✊✌️🇬🇧🇪🇺🇵🇱🇺🇦🤍❤️🤍,SolidarityRnwd,"Nottingham, England",,,,,1.31693e+18,,51,RT What Trump never said Putin never Get Ukraine Stop interfering US elections,"{'neg': 0.0, 'neu': 0.864, 'pos': 0.136, 'compound': 0.2235}",0.2235,0.864,0.136,0.0,Trump
107,1.31708e+18,RT @TX_WalkerRanger: Can we all be friends with the woman sitting behind Trump nodding?,https://twitter.com/CottonAn0n/status/1317079925044744195,16/10/2020 12:28,1602850000000.0,1.05554e+18,Cotton_An0n,CottonAn0n,"Lubbock, TX",,,,,1.31691e+18,,-39,RT Can friends woman sitting behind Trump nodding,"{'neg': 0.0, 'neu': 0.693, 'pos': 0.307, 'compound': 0.4767}",0.4767,0.693,0.307,0.0,Trump
108,1.31708e+18,"'He Knows': Trump Fixated On 'Likely' Loss To Biden, Per Trump Insider |... https://t.co/XXjwaSWrXA via @YouTube",https://twitter.com/KopaJude/status/1317079924998627336,16/10/2020 12:28,1602850000000.0,1472502049.0,Jude Kopa,KopaJude,,,,,,,,22,He Knows Trump Fixated On Likely Loss To Biden Per Trump Insider httpstcoX XjwaS WrXA via,"{'neg': 0.133, 'neu': 0.867, 'pos': 0.0, 'compound': -0.3182}",-0.3182,0.867,0.0,0.133,Trump
109,1.31708e+18,RT @UROCKlive1: What if putting our elected representatives up for sale to the highest bidder is not the best idea?,https://twitter.com/lbloveslife25/status/1317079925128630274,16/10/2020 12:28,1602850000000.0,22674353.0,lisaloveslife ✡🕉☯🆘️,lbloveslife25,"Long Island, NY",,,,,1.31702e+18,,-17,RT What putting elected representatives sale highest bidder best idea,"{'neg': 0.0, 'neu': 0.682, 'pos': 0.318, 'compound': 0.6369}",0.6369,0.682,0.318,0.0,Trump
112,1.31708e+18,"RT @RealAPolitics: PENNSYLVANIA PROJECTED VOTE TOTALS:
Donald Trump - 3,379,000
Joe Biden - 2,975,000",https://twitter.com/westodd_gigem/status/1317079928211427328,16/10/2020 12:28,1602850000000.0,3013874402.0,Wesley Todd,westodd_gigem,,,,,,1.31679e+18,,-34,RT PENNSYLVANIA PROJECTED VOTE TOTALS Donald Trump 3379000 Joe Biden 2975000,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0,Trump
113,1.31708e+18,"RT @DavidJollyFL: Nothing Sasse said should turn the focus to Trump, it should turn the focus squarely on Sasse, for a long while.",https://twitter.com/avl1899/status/1317079928249069570,16/10/2020 12:28,1602850000000.0,7.7728e+17,トンボ,avl1899,,,,,,1.31707e+18,,-79,RT Nothing Sasse said turn focus Trump turn focus squarely Sasse long,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0,Trump
114,1.31708e+18,RT @FuctupMike: Am I nuts or was Trump impeached for some shit Joe Biden did?,https://twitter.com/FuR_GusGus/status/1317079928307961856,16/10/2020 12:28,1602850000000.0,1.27344e+18,FurGus,FuR_GusGus,Earth,,,,,1.31696e+18,,-86,RT Am I nuts Trump impeached shit Joe Biden,"{'neg': 0.496, 'neu': 0.504, 'pos': 0.0, 'compound': -0.7096}",-0.7096,0.504,0.0,0.496,Trump
115,1.31708e+18,RT @williamlegate: Trump's last 3 campaign managers have all been arrested.,https://twitter.com/blubike321/status/1317079928383352833,16/10/2020 12:28,1602850000000.0,1.09005e+18,Blubike321,blubike321,"Florida, USA",,,,,1.31692e+18,,-16,RT Trumps last 3 campaign managers arrested,"{'neg': 0.383, 'neu': 0.617, 'pos': 0.0, 'compound': -0.4767}",-0.4767,0.617,0.0,0.383,Trump
